Book-ID,Book-Title,Book-Author,Year-Of-Publication,Publisher,Book-Price
1,Classical Mythology,Mark P. O. Morford,2002,Oxford University Press,490
2,Clara Callan,Richard Bruce Wright,2001,HarperFlamingo Canada,700
3,Decision in Normandy,Carlo D'Este,1991,HarperPerennial,150
4,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999,Farrar Straus Giroux,960
5,The Mummies of Urumchi,E. J. W. Barber,1999,W. W. Norton &amp; Company,800
6,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group,140
7,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,2000,Berkley Publishing Group,400
8,PLEADING GUILTY,Scott Turow,1993,Audioworks,980
9,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,David Cordingly,1996,Random House,930
10,Where You'll Find Me: And Other Stories,Ann Beattie,2002,Scribner,590
11,Nights Below Station Street,David Adams Richards,1988,Emblem Editions,760
12,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,Adam Lebor,2000,Citadel Press,450
13,The Middle Stories,Sheila Heti,2004,House of Anansi Press,190
14,Jane Doe,R. J. Kaiser,1999,Mira Books,300
15,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1998,Health Communications,930
16,The Witchfinder (Amos Walker Mystery Series),Loren D. Estleman,1998,Brilliance Audio - Trade,630
17,More Cunning Than Man: A Social History of Rats and Man,Robert Hendrickson,1999,Kensington Publishing Corp.,70
18,Goodbye to the Buttermilk Sky,Julia Oliver,1994,River City Pub,550
19,The Testament,John Grisham,1999,Dell,820
20,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,Plume,950
21,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,1999,Three Rivers Press,740
22,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,2001,Ryland Peters &amp; Small Ltd,80
23,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,J. R. Parrish,2003,Cypress House,80
24,Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in),Mary-Kate &amp; Ashley Olsen,2000,HarperEntertainment,660
25,Tell Me This Isn't Happening,Robynn Clairday,1999,Scholastic,430
26,Flood : Mississippi 1927,Kathleen Duey,1998,Aladdin,480
27,Wild Animus,Rich Shapero,2004,Too Far,510
28,Airframe,Michael Crichton,1997,Ballantine Books,930
29,Timeline,MICHAEL CRICHTON,2000,Ballantine Books,880
30,OUT OF THE SILENT PLANET,C.S. Lewis,1996,Scribner,120
31,Prague : A Novel,ARTHUR PHILLIPS,2003,Random House Trade Paperbacks,410
32,Chocolate Jesus,Stephan Jaramillo,1998,Berkley Publishing Group,920
33,Wie Barney es sieht.,Mordecai Richler,2002,LÃ?Â¼bbe,180
34,Der Fluch der Kaiserin. Ein Richter- Di- Roman.,Eleanor Cooney,2001,Goldmann,380
35,Sturmzeit. Roman.,Charlotte Link,1991,Goldmann,260
36,Tage der Unschuld.,Richard North Patterson,2000,Goldmann,700
37,Lying Awake,Mark Salzman,2000,Alfred A. Knopf,140
38,To Kill a Mockingbird,Harper Lee,1988,Little Brown &amp; Company,680
39,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002,Ballantine Books,710
40,Pigs in Heaven,Barbara Kingsolver,1993,Harpercollins,300
