User-ID,Location,Age
1,"nyc, new york, usa",20
2,"stockton, california, usa",18
3,"moscow, yukon territory, russia",30
4,"porto, v.n.gaia, portugal",17
5,"farnborough, hants, united kingdom",31
6,"santa monica, california, usa",61
7,"washington, dc, usa",41
8,"timmins, ontario, canada",12
9,"germantown, tennessee, usa",15
10,"albacete, wisconsin, spain",26
11,"melbourne, victoria, australia",14
12,"fort bragg, california, usa",18
13,"barcelona, barcelona, spain",26
14,"mediapolis, iowa, usa",36
15,"calgary, alberta, canada",37
16,"albuquerque, new mexico, usa",19
17,"chesapeake, virginia, usa",27
18,"rio de janeiro, rio de janeiro, brazil",25
19,"weston, ,",14
20,"langhorne, pennsylvania, usa",19
21,"ferrol / spain, alabama, spain",46
22,"erfurt, thueringen, germany",21
23,"philadelphia, pennsylvania, usa",34
24,"cologne, nrw, germany",19
25,"oakland, california, usa",55
26,"bellevue, washington, usa",76
27,"chicago, illinois, usa",32
28,"freiburg, baden-wuerttemberg, germany",24
29,"cuernavaca, alabama, mexico",19
30,"anchorage, alaska, usa",24
31,"shanghai, n/a, china",20
32,"portland, oregon, usa",17
33,"costa mesa, california, usa",34
34,"london, england, united kingdom",28
35,"grafton, wisconsin, usa",17
36,"montreal, quebec, canada",24
37,"san sebastian, n/a, spain",23
38,"viterbo, lazio, italy",34
39,"cary, north carolina, usa",19
40,"tonawanda, new york, usa",32
41,"santee, california, usa",14
42,"appleton, wisconsin, usa",17
43,"méxico, méxico city, distrito federal",25
44,"black mountain, north carolina, usa",51
45,"berlin, n/a, germany",45
46,"heidelberg, baden-wuerttemberg, germany",31
47,"vicenza, veneto, italy",21
48,"chicago, illinois, usa",25
49,"rome, rome, italy",61
50,"london, england, united kingdom",17
51,"renton, washington, usa",34
52,"braunschweig, niedersachsen, germany",22
53,"tacoma, washington, usa",33
54,"eubank, kentucky, usa",44
55,"calgary, alberta, canada",16
56,"cheyenne, wyoming, usa",24
57,"roma, lazio, italy",31
58,"edmonton, alberta, canada",41
59,"asheville, north carolina, usa",23
60,"trieste, friuli venezia giulia, italy",47
61,"winfield, alabama, usa",30
62,"kennewick, washington, usa",49
63,"nyack, new york, usa",57
64,"lyon, rhone, france",32
65,"n/a, n/a, australia",22
66,"warman, saskatchewan, canada",30
67,"framingham, massachusetts, usa",43
68,"montreal, quebec, canada",18
69,"vancouver, british columbia, canada",16
70,"rochester, new york, usa",44
71,"toronto, ontario, canada",24
72,"gloucester, england, united kingdom",34
73,"wentzville, missouri, usa",21
74,"amsterdam, n/a, netherlands",30
75,"long beach, california, usa",37
76,"charleston, south carolina, usa",24
77,"vancouver, british columbia, canada",38
78,"oakland, california, usa",18
79,"ottawa, ontario, canada",20
80,"etobicoke, ontario, canada",27
81,"santa cruz, california, usa",19
82,"del mar, california, usa",35
83,"eugene, oregon, usa",36
84,"san diago, california, usa",77
85,"london, england, united kingdom",41
86,"los angeles, california, usa",33
87,"richardson, texas, usa",26
88,"fayetteville, georgia, usa",27
89,"plano, texas, usa",54
90,"powhatan, virginia, usa",42
91,"toronto/newmarket, ,",29
92,"castellar del valles, barcelona, spain",20
93,"eden, wisconsin, usa",50
94,"tehran, tehran, iraq",39
95,"grand island, new york, usa",31
96,"helsinki, alaska, finland",30
97,"mechanicsburg, pennsylvania, usa",41
98,"pukekohe, auckland, new zealand",19
99,"franktown, colorado, usa",42
100,"madrid, n/a, spain",44
